Name,Description,Location
Miss Kobayashi's Dragon Maid,"Miss Kobayashi's Dragon Maid (Japanese: ???????????? Hepburn: Kobayashi-san Chi no Meidoragon?) is a Japanese manga series written and illustrated by Coolkyoushinja. The series began serialization in Futabasha's Monthly Action magazine in May 2013, and is licensed in North America by Seven Seas Entertainment. A spin-off manga by Mitsuhiro Kimura began serialization in Monthly Action in December 2016. An anime television series produced by Kyoto Animation began airing in Japan from January 2017.",Ionassal
Amagi Brilliant Park,"Seiya Kanie is a good looking, perfectionist boy who is forced by the mysterious Isuzu Sento to visit an amusement park named Amagi Brilliant Park, which is in serious financial trouble and about to be closed forever. The park is actually staffed by refugees from a magical realm called Maple Land and the park is a facility for harvesting magical energy from visitors while they're having fun. As such, the park is the only way the refugees can maintain their existence in the human realm.

To save the park from closing, Seiya is hired by the owner, Latifah Fleuranza, the princess of Maple Land (whom Seiya met before when he was a young boy), to become its new manager and use his skills in entertainment to save it. However, they have only three months to attract 250,000 visitors, a feat that seems impossible given the park's current situation.",Ionassal
11eyes: Tsumi to Batsu to Aganai no Shojo,"Since losing his sister seven years ago, Satsuki Kakeru has led a vacant life. He has only been able to return to normal with help from his childhood friend, Minase Yuka, and other friends at school. Then one day the sky turns red, the moon turns black, everyone around Kakeru and Yuka disappears and monsters start roaming the streets. They are able to run away and hide and after a while, the world returns to normal. At first they believe that it was a dream, but the Red Night occurs again. Kakeru and Yuka find four other humans affected by this mysterious phenomenon: Kusakabe Misuzu, a red-haired onmyouji swordswoman; Tachibana Kukuri, a strange mute girl who looks like Kakeru's deceased sister; Hirohara Yukiko, a lively young girl who takes on the personality of a cold killer when her glasses are removed; and Tajima Takahisa, a young pyrokineticist with a heated attitude to boot. The six of them band together to survive, but six shadows suddenly appear in front of them. These six shadows call themselves the ""Black Knights,"" and for unknown reasons wish to kill Kakeru and friends. The teenagers find a girl with flowing silver hair wearing a white dress named Lisette who is trapped in a red crystal. She claims that she is being held captive and asks for their help. The Black Knights prevent them from doing anything and begin referring to Kakeru's friends as ""fragments"" and to Kakeru as ""the bearer of the 'eye of Aeon'."" As they try to survive, the six teenagers gradually form bonds and begin to work together in order to defeat the Black Knights, in the hopes that this will end the Red Night.",Kanon
Accel World,"Haruyuki ""Haru"" Arita is a short, overweight boy who is frequently ridiculed by delinquents at the Umesato Junior High School. Using his Neuro Linker to escape the torment of real life, he logs onto the school's Local Network cyberspace where he always plays virtual squash alone, and his innate video game skills bring him to the attention of Kuroyukihime (literally meaning ""Black Snow Princess""), the school's popular, highly intellectual and attractive female Student Council Vice-President.

After helping him against the delinquents, Kuroyukihime introduces Haruyuki to Brain Burst, a secret program that is able to accelerate the human cognitive process to the point at which time appears to stop. Haruyuki soon learns that Brain Burst is more than just a program, but an Augmented Reality Massively Multiplayer Online (ARMMO) Fighting Game where people fight each other in fierce duels in order to obtain Burst Points which can be spent for acceleration abilities in the real world.

Kuroyukihime then enlists Haruyuki's help in reaching Level 10 within Brain Burst by defeating the ""Six Kings of Pure Colour"" and ultimately meet the creator of Brain Burst to learn its true purpose. With every challenge they face in the Accelerated World, Haru and Kuroyukihime, under their aliases ""Silver Crow"" and ""Black Lotus"", gather trusted allies, confront treacherous enemies and their bond grows stronger while working to attain their ultimate objective: to reach the highest in-game level and meet the game's creator, who will reveal why the game was created and the true purpose of it.",Kanon
Akatsuki no Yona,"The story follows the redemption of Yona, the sole princess to the kingdom of Kouka. Yona lives the carefree life of a princess in Hiryuu castle, being sheltered by her pacifistic father, King Il, and protected by her bodyguard and childhood friend Son Hak. During a party being held for her sixteenth birthday, her other childhood friend and love interest Soo-won comes to pay tribute to her. Intending to tell her father that she cannot forget her love for Soo-won, she visits King Il's chambers and witnesses him being killed by Soo-won, who reveals that he will now properly rule Kouka. Hak intervenes and saves Yona and they escape from the castle to Hak's birthplace, the Village of Wind. Under the suggestion of Hak's grandfather Son Mundok, Yona and Hak search for an oracle named Ik-su. Ik-su tells them the legend of the first king of Kouka, Hiryuu, and the four dragons who unified the kingdom. Yona and Hak, joined by Ik-su's assistant Yun, begin a journey to find the descendants of the legendary Four Dragons in order to survive and save the Kingdom of Kouka.",Kanon
Alderamin on the Sky,"The world is thrown into chaos when the Katjvarna empire takes arms against the Republic of Kioka. Our hero, Ikta, detests war but ultimately has no choice but to become a High Grade Military Officer to defend his land. No one could have ever imagined that this lazy womanizer would eventually become the hero everyone needed. ",Kanon
Amaama to Inazuma,"Since the death of his wife, Kouhei Inuzuka has been caring for his young daughter Tsumugi to the best of his abilities. However, with his lack of culinary knowledge and his busy job as a teacher, he is left relying on ready-made meals from convenience stores to feed the little girl. Frustrated at his own incapability to provide a fresh, nutritious meal for his daughter, Kouhei takes up an offer from his student, Kotori Iida, to come have dinner at her family's restaurant. But on their very first visit, the father and daughter discover that the restaurant is often closed due to Kotori's mother being away for work and that Kotori often eats alone. After much pleading from his pupil, Kouhei decides to continue to go to the restaurant with Tsumugi to cook and share delicious homemade food with Kotori.

Amaama to Inazuma follows the heartwarming story of a caring father trying his hardest to make his adorable little daughter happy, while exploring the meanings and values behind cooking, family, and the warm meals at home that are often taken for granted.",Kanon
Anne Happy,"Tennomifune Academy is an elite institution for the best and the brightest, with the exception of Class 1-7, the so-called ""Happiness Class."" Each member of the classroom copes with personal misfortunes, and the special class is geared to help them move past their issues and find true happiness. 

After being accepted into the academy, An Hanakoizumi, Ruri Hibarigaoka, and Botan Kumegawa find themselves placed into the Happiness Class, plagued by dreadful luck, love problems, and bad health respectively. Alongside their classmates, they do their best to overcome the difficulties they are faced with in pursuit of a life filled with joy.",Kanon
Ano Natsu de Matteru,"While testing out his camera on a bridge one summer night, Kaito Kirishima sees a blue light streaking across the sky, only to be blown off the railing seconds later. Just before succumbing to unconsciousness, a hand reaches down to grab ahold of his own. Dazed and confused, Kaito wakes up the next morning wondering how he ended up back in his own room with no apparent injuries or any recollection of the night before. As he proceeds with his normal school life, Kaito and his friends discuss what to do with his camera, finally deciding to make a film with it over their upcoming summer break. Noticing that Kaito has an interest in the new upperclassmen Ichika Takatsuki, his friend Tetsurou Ishigaki decides to invite her, as well as her friend Remon Yamano, to join them in their movie project.

In what becomes one of the most entertaining and exciting summers of their lives, Kaito and his friends find that their time spent together is not just about creating a film, but something much more meaningful that will force them to confront their true feelings and each other.",Kanon
Another,"In 1972, a popular student in Yomiyama North Middle School's class 3-3 named Misaki passed away during the school year. Since then, the town of Yomiyama has been shrouded by a fearful atmosphere, from the dark secrets hidden deep within.

Twenty-six years later, 15-year-old Kouichi Sakakibara transfers into class 3-3 of Yomiyama North and soon after discovers that a strange, gloomy mood seems to hang over all the students. He also finds himself drawn to the mysterious, eyepatch-wearing student Mei Misaki; however, the rest of the class and the teachers seem to treat her like she doesn't exist. Paying no heed to warnings from everyone including Mei herself, Kouichi begins to get closer not only to her, but also to the truth behind the gruesome phenomenon plaguing class 3-3 of Yomiyama North.

Another follows Kouichi, Mei, and their classmates as they are pulled into the enigma surrounding a series of inevitable, tragic events—but unraveling the horror of Yomiyama may just cost them the ultimate price.",Kanon
